Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
51,2,0,2,1,3,1,2,2,3,22741,2176,0.689,8438,0.887,0.096
56,1,2,6,2,2,1,5,1,4,3609,1026,0.67,4318,0.588,0.284
45,1,3,2,3,1,1,2,1,2,2052,0,0.77,4289,0.674,0
58,2,3,1,1,3,1,4,3,3,18713,1022,0.682,1524,0.615,0.055
53,2,1,2,1,5,1,6,3,2,3312,1844,0.986,1740,0.882,0.557
62,1,0,1,2,3,1,2,2,3,10503,0,0.886,4755,0.725,0
49,1,5,3,1,1,1,6,2,4,2331,1798,0.847,4061,0.692,0.771
47,2,3,3,1,2,1,1,2,4,1684,644,0.723,2164,0.714,0.382
38,2,2,2,1,5,1,6,2,3,3782,0,0.717,14977,0.721,0
51,1,2,3,1,1,2,6,2,3,13812,1132,0.699,3723,0.867,0.082
42,1,4,1,2,1,1,4,2,2,2899,1952,0.667,4906,0.679,0.673
55,1,1,2,1,1,1,5,1,1,2747,0,0.834,5032,0.68,0
32,2,2,1,1,3,1,2,1,2,25438,1907,0.741,16485,0.793,0.075
43,2,0,2,2,3,1,2,2,2,11247,0,0.63,4894,0.977,0
53,2,1,1,2,3,1,4,2,4,17742,1463,0.803,3369,0.774,0.082
51,1,1,2,1,1,1,4,3,3,1665,1521,0.874,2878,0.452,0.914
65,2,0,4,3,1,1,5,3,2,9706,1968,1.022,3435,0.706,0.203
54,2,1,2,1,3,1,5,3,2,1618,668,0.552,1515,0.476,0.413
49,2,3,1,1,4,1,5,2,3,15942,0,0.723,1742,0.323,0
39,1,5,4,2,1,1,4,1,2,4710,1869,0.858,4719,0.655,0.397
55,1,1,4,2,1,1,4,2,1,3520,1914,0.51,1407,0.483,0.544
39,2,3,4,1,3,1,2,3,3,4618,0,0.717,2476,0.75,0
48,1,2,2,1,2,1,3,1,2,4009,1361,0.886,4506,0.86,0.339
49,1,3,1,2,1,1,4,5,1,2285,1931,0.69,4944,0.66,0.845
51,2,1,1,2,4,1,5,2,4,9619,1731,0.712,3690,0.52,0.18
40,1,4,5,1,1,1,4,1,3,2316,1510,0.554,3471,0.75,0.652
54,2,3,1,1,5,1,1,3,2,8426,0,0.96,14378,0.717,0
53,1,1,1,2,1,1,6,6,3,2370,1166,0.562,2164,0.607,0.492
43,1,4,4,1,1,1,5,4,3,1884,1216,0.945,4591,0.735,0.645
49,2,3,2,1,4,1,4,1,4,9264,629,0.659,4107,0.58,0.068
43,1,2,2,1,3,1,3,3,4,6109,1549,0.683,4430,0.865,0.254
42,2,4,4,1,4,1,4,3,3,3092,1115,0.802,2133,0.783,0.361
44,1,4,4,1,1,2,3,2,2,10790,1930,0.75,1052,1.286,0.179
37,1,2,1,2,1,1,2,3,0,1610,0,0.889,2729,0.406,0
35,1,4,1,2,1,1,6,3,0,2118,1189,1.158,4541,0.818,0.561
46,1,4,1,2,3,1,4,0,3,13376,1633,0.98,4515,1.172,0.122
44,1,3,3,2,1,1,3,3,4,2786,1635,0.921,4532,1,0.587
48,1,3,5,1,3,1,6,1,3,4025,0,0.887,4445,0.673,0
58,1,1,2,1,1,1,4,1,4,1957,1152,0.899,4546,0.5,0.589
43,2,2,2,2,4,1,5,2,2,1849,1293,0.835,4678,0.972,0.699
41,1,5,2,3,1,1,3,1,3,2137,996,0.625,4290,0.875,0.466
47,2,2,1,3,3,1,6,1,3,16741,1225,0.641,3608,0.514,0.073
40,2,2,1,2,2,1,3,2,3,6033,0,0.834,4505,0.721,0
45,1,4,2,1,1,1,5,2,2,2225,0,0.611,4138,0.771,0
42,1,5,1,1,1,1,6,1,1,1694,1074,0.78,3857,0.75,0.634
41,1,2,2,2,1,1,1,3,4,1661,0,0.786,2473,0.75,0
45,2,3,4,3,2,1,1,3,2,2449,0,0.706,5497,0.63,0
49,1,4,2,2,1,2,5,3,5,13704,2127,0.805,15872,0.681,0.155
46,1,5,2,1,2,1,3,1,3,4163,0,0.743,4763,0.854,0
52,2,0,2,1,4,1,3,2,4,2742,2184,0.592,3829,0.532,0.796
37,2,3,4,1,3,1,3,4,3,11638,926,0.262,563,0.364,0.08
44,1,3,2,3,1,1,5,2,3,1877,1203,0.654,2581,0.781,0.641
44,1,2,2,1,2,1,2,3,3,1438.3,0,0.926,4445,0.773,0
43,1,3,3,1,1,1,4,3,2,5702,0,0.773,3928,0.744,0
44,1,2,3,1,1,1,3,1,4,3734,0,0.954,3144,0.722,0
51,1,2,3,1,1,1,1,2,2,2114,0,0.875,2872,0.5,0
47,1,2,3,1,1,1,1,3,3,1438.3,0,0.677,4624,0.587,0
46,2,3,2,1,4,1,4,3,1,4696,0,0.732,4828,1.583,0
57,1,0,4,1,1,1,2,3,1,4945,1779,0.536,4037,0.756,0.36
41,1,4,3,2,2,1,6,4,3,5802,2490,0.849,3386,1.038,0.429
34,2,3,3,3,5,1,4,3,3,9180,1814,0.628,2646,0.633,0.198
42,2,3,2,2,4,1,4,3,3,7255,0,0.9,3148,0.824,0
49,2,3,1,2,5,1,6,2,3,8514,2013,0.664,4098,0.542,0.236
42,1,2,1,1,1,1,4,2,1,2250,1788,0.523,4908,1.152,0.795
43,1,4,1,2,2,1,6,1,1,6475,1686,0.699,3837,0.667,0.26
40,2,2,1,3,4,1,3,1,2,3099,0,0.72,3622,0.667,0
49,1,0,3,2,1,1,3,3,2,2094,0,0.897,2690,0.484,0
42,1,3,1,1,1,1,4,3,2,2031,1720,0.713,2702,0.778,0.847
55,2,0,2,3,3,1,4,3,3,19793,2488,0.594,2186,0.467,0.126
47,1,3,2,1,1,1,3,2,2,3035,0,1.222,3847,0.658,0
47,2,4,1,2,2,1,2,3,6,9080,2174,0.653,2098,0.586,0.239
62,1,1,2,1,2,1,2,1,2,8990,0,0.935,747,0.583,0
51,1,1,1,1,2,2,4,2,4,33004,2418,0.923,10156,0.946,0.073
61,1,1,4,2,1,1,2,3,2,8283,1444,0.698,7553,0.529,0.174
32,1,0,2,3,3,1,5,3,1,12268,1165,0.832,4905,0.822,0.095
57,1,2,3,1,1,1,4,2,0,2494,1639,0.858,1555,0.625,0.657
37,2,3,2,1,4,1,6,2,2,2253,1667,0.884,1641,0.667,0.74
50,1,2,1,2,2,1,4,1,3,1438.3,0,1.196,4512,0.833,0
59,2,0,2,2,4,1,3,6,6,24621,471,0.85,2864,0.759,0.019
53,1,1,2,1,2,1,2,3,3,2164,1115,0.624,4341,0.643,0.515
48,2,2,3,1,3,1,4,3,3,6593,0,0.667,3520,0.769,0
45,1,1,3,1,1,1,4,1,3,6373,1562,0.573,3483,0.64,0.245
49,1,2,3,1,1,1,5,2,3,2081,0,1.004,4863,0.706,0
51,1,3,1,1,2,1,5,2,3,9117,1259,0.88,3837,0.705,0.138
57,1,3,2,1,1,1,3,2,1,2742,2321,1.315,1389,0.6,0.846
43,2,3,6,2,2,1,2,6,3,4970,1588,0.669,4436,0.804,0.32
38,1,0,2,2,1,1,4,2,1,1438.3,1003,0.629,4247,0.714,0.697
41,2,2,2,1,5,1,4,3,2,10816,871,0.606,3221,0.581,0.081
53,1,1,1,1,2,1,6,3,3,2712,2487,0.571,4159,0.683,0.917
36,2,0,2,1,5,1,3,3,2,10097,2139,1.408,3092,0.763,0.212
48,2,2,2,1,5,1,3,3,4,10642,1715,0.705,4183,0.762,0.161
65,2,0,1,2,3,1,1,4,3,1671,0,0.725,2701,0.889,0
46,2,0,2,3,3,1,3,1,4,16099,0,0.562,3656,0.76,0
45,2,2,1,1,5,1,4,3,1,16453,1660,0.629,14762,0.742,0.101
51,2,4,2,2,5,1,6,3,3,34516,2274,0.788,1795,0.679,0.066
44,2,3,1,1,2,1,2,2,6,9502,2457,0.915,2310,0.676,0.259
41,1,3,1,2,1,2,2,1,1,11463,0,0.908,14511,0.721,0
48,2,5,2,2,4,1,2,3,0,3862,0,0.807,15282,0.712,0
41,2,3,4,2,4,1,3,3,1,23260,1476,0.975,15140,0.81,0.063
62,1,1,5,1,1,1,3,1,3,1438.3,0,0.699,902,0.409,0
38,1,3,1,2,3,1,5,1,3,2348,1028,0.469,5125,0.578,0.438
41,2,5,3,2,3,1,1,2,3,1438.3,892,0.79,4426,0.66,0.62
42,1,3,1,1,1,1,4,2,2,2526,2048,0.716,4267,0.8,0.811
51,1,2,6,3,4,1,6,3,4,8930,2517,0.661,2167,0.357,0.282
34,2,2,1,2,3,1,3,1,3,13395,1678,1.006,2650,0.865,0.125
48,1,2,3,1,1,1,3,3,3,4204,0,0.703,2316,0.536,0
59,1,0,4,1,1,1,6,1,0,1438.3,0,0.715,4817,0.688,0
48,1,5,4,3,2,1,3,1,1,4365,0,0.598,3542,1.111,0
65,2,1,1,1,1,1,6,2,4,4507,1574,0.744,1793,0.652,0.349
56,2,2,1,2,3,1,6,2,3,15982,0,0.687,4503,0.667,0
38,1,2,4,1,1,1,1,3,2,3420,1405,0.843,4267,0.596,0.411
54,1,3,3,2,1,1,3,3,3,7477,1960,1.008,3618,0.583,0.262
54,1,3,2,1,1,1,5,4,4,3161,1220,0.82,2412,0.824,0.386
40,2,4,2,1,4,1,3,3,2,12544,1636,0.503,1758,0.457,0.13
42,2,2,1,2,3,1,6,3,1,26690,0,1.144,4363,1.054,0
47,1,4,3,1,1,1,3,3,3,2033,228,0.904,2572,0.72,0.112
44,2,2,6,2,4,1,5,1,2,7577,2480,0.435,1409,0.167,0.327
36,2,2,4,2,4,1,5,2,5,23032,840,0.739,2787,0.698,0.036
35,2,3,4,1,3,1,3,2,3,3575,1884,0.384,861,1.5,0.527
29,1,2,3,2,2,1,4,1,2,23125,1236,0.995,2536,0.865,0.053
45,2,3,6,2,4,2,3,3,1,27494,879,0.671,14375,0.672,0.032
43,2,5,1,2,2,1,3,3,2,7599,1100,0.365,4401,0.651,0.145
58,2,3,2,2,5,1,4,1,2,6103,1798,0.705,1468,0.619,0.295
53,2,3,3,1,3,1,2,2,3,16747,0,0.801,4350,0.767,0
49,2,2,1,3,4,1,5,3,2,4596,0,0.93,2872,0.722,0
41,2,2,1,1,3,1,3,3,4,10873,1514,0.879,5089,0.783,0.139
50,2,2,3,2,3,1,3,3,4,1645,0,0.771,3838,0.463,0
48,2,3,6,3,5,1,4,3,2,34516,2517,0.697,1699,0.846,0.073
47,1,3,2,1,1,1,4,2,4,4255,1681,0.65,3453,0.5,0.395
45,2,3,1,3,4,1,4,1,1,3291,1607,1.26,1984,0.652,0.488
47,2,1,2,1,2,1,5,3,2,3291,1197,0.672,3228,0.708,0.364
43,2,3,2,1,4,2,4,3,4,25856,1281,0.975,3303,0.795,0.05
34,1,4,1,1,1,1,2,2,4,5021,2517,0.587,2270,0.481,0.501
45,2,3,1,1,4,1,3,3,2,9791,1311,0.704,1649,0.513,0.134
55,2,2,1,2,3,2,5,1,1,34516,1316,0.818,3542,0.714,0.038
53,2,3,1,2,2,1,2,2,2,14627,1997,0.718,7766,0.745,0.137
45,2,2,4,3,2,1,5,1,2,10991,1328,1.027,3692,0.714,0.121
46,2,2,2,1,5,1,5,3,2,19727,1785,0.572,1245,0.786,0.09
52,1,2,2,2,1,1,5,2,3,7030,994,0.725,3211,0.725,0.141
49,2,3,5,1,3,1,3,3,2,13382,1159,0.404,1828,0.5,0.087
39,1,3,3,3,3,1,4,3,3,2809,0,0.854,2466,0.538,0
65,1,0,3,1,1,2,5,1,2,11097,0,0.648,4836,0.566,0
56,1,2,3,2,1,1,4,2,2,3495,1427,0.563,4466,0.889,0.408
39,1,0,1,1,1,1,3,3,3,2936,0,0.842,4876,0.542,0
51,2,2,2,2,5,1,6,2,2,19715,1014,1.437,1979,0.667,0.051
44,1,2,1,2,2,1,2,3,3,5508,0,0.89,7507,0.733,0
42,2,5,2,1,4,1,2,4,3,3275,1525,0.749,14830,0.697,0.466
53,2,2,4,1,2,1,2,3,0,2672,1604,0.62,4766,1.083,0.6
53,2,2,1,1,5,1,6,3,2,5882,2335,0.579,1380,0.667,0.397
43,2,5,2,1,4,1,5,2,1,2810,2384,0.859,4875,0.764,0.848
73,2,0,2,1,2,1,5,3,2,4469,1125,1.363,1765,1.615,0.252
27,1,0,1,1,1,1,3,2,2,1674,752,0.963,4513,0.966,0.449
38,1,3,2,1,1,1,5,3,3,2989,2387,0.437,2143,0.558,0.799
42,2,4,3,1,4,1,5,3,3,2966,2371,0.969,4416,0.844,0.799
57,2,1,5,1,3,1,4,3,3,23714,0,0.981,8463,0.824,0
64,1,1,2,3,3,1,3,3,1,18038,1184,0.827,4168,0.6,0.066
38,2,2,3,1,1,1,6,2,4,1438.3,0,0.945,2412,0.657,0
50,1,3,1,1,1,1,2,3,3,4249,789,0.925,8186,0.722,0.186
41,1,1,1,1,2,1,6,3,1,2413,1627,0.726,5466,0.771,0.674
46,1,1,1,1,2,1,3,3,2,2694,1576,0.494,2041,0.9,0.585
59,1,0,2,2,2,1,4,3,1,10457,2148,0.737,4649,0.947,0.205
43,1,3,3,1,1,1,4,1,2,4175,2517,0.551,1520,0.44,0.603
44,1,2,2,1,1,1,4,2,3,2485,1489,0.779,3697,0.833,0.599
48,2,3,2,2,4,1,4,2,2,11432,2517,0.615,1374,0.762,0.22
40,1,3,3,2,2,1,3,3,3,2690,1935,0.593,4917,0.653,0.719
57,1,2,5,2,2,1,3,4,2,4784,1629,0.706,4912,0.783,0.341
46,1,0,1,2,3,1,6,1,2,9216,2059,0.763,3630,0.56,0.223
51,1,3,3,1,1,1,3,3,3,2238,1300,1.071,4508,0.756,0.581
58,1,1,1,2,1,1,5,1,1,3173,1713,0.609,3797,0.786,0.54
43,1,3,4,1,1,2,4,2,2,11362,1871,0.859,7849,0.63,0.165
47,1,3,3,1,1,1,5,1,1,1438.3,0,0.647,4443,0.83,0
50,1,3,2,1,1,2,5,2,2,10062,1149,0.76,1964,0.467,0.114
49,1,4,2,1,1,1,4,1,4,2473,1263,0.71,4597,0.6,0.511
26,1,0,2,2,2,1,1,2,4,6152,0,0.391,968,0.533,0
46,2,1,2,2,5,1,5,2,1,11840,1295,0.84,1560,0.4,0.109
44,1,2,3,2,1,1,5,2,2,2097,1224,0.819,5059,0.681,0.584
34,1,2,4,1,1,1,1,3,2,1696,0,0.782,2325,0.556,0
49,2,4,2,2,5,1,3,3,4,34516,2517,0.7,2376,0.486,0.073
40,1,4,1,1,1,1,5,5,1,1577,1286,0.571,3453,1.08,0.815
26,2,0,2,2,1,1,6,1,4,1775,1162,0.93,2169,0.536,0.655
56,2,2,6,2,3,1,4,3,3,4480,2465,0.772,3331,0.682,0.55
41,2,4,2,1,3,1,4,3,2,23124,1746,0.807,1959,0.724,0.076
52,1,1,3,2,1,1,5,3,4,1717,0,1.028,3004,0.586,0
41,2,3,3,1,4,1,4,3,1,5813,1614,0.696,4365,0.875,0.278
44,1,3,1,1,1,1,4,2,3,3889,2517,0.405,1718,0.276,0.647
40,2,4,3,1,3,1,6,3,2,9760,1657,1.134,4542,0.87,0.17
49,2,4,2,2,4,1,6,3,3,18418,0,0.918,9980,0.744,0
53,2,2,3,1,3,1,6,1,3,6704,1354,0.411,1331,0.364,0.202
49,1,4,3,1,1,1,3,2,1,2393,1667,0.974,3768,0.681,0.697
64,1,0,1,2,1,1,5,3,4,6663,765,1.129,4583,0.857,0.115
39,1,1,1,1,2,1,4,3,2,3358,1758,0.723,1759,0.737,0.524
56,1,1,3,1,1,1,6,1,2,3022,1627,0.835,4390,0.783,0.538
44,1,4,1,2,3,1,3,1,3,8482,0,0.563,4076,0.688,0
38,2,3,3,1,4,1,6,3,4,3417,1749,0.57,2068,0.619,0.512
49,2,5,4,1,2,1,2,2,3,1438.3,0,0.734,815,0.615,0
26,2,1,2,2,2,1,6,2,4,1473,0,0.813,2099,0.857,0
43,1,2,4,1,1,1,5,2,3,4020,0,0.563,1952,0.345,0
31,1,0,1,2,1,1,3,3,2,3480,724,0.722,2807,0.806,0.208
28,1,0,3,2,1,1,3,2,2,2387,0,0.639,4513,0.65,0
60,1,1,3,2,1,1,2,3,2,4628,2327,0.611,4226,0.736,0.503
60,2,0,2,1,4,1,4,1,0,2759,2501,0.505,1650,0.7,0.906
49,2,3,5,2,4,1,2,4,2,14895,0,1.043,5147,0.559,0
51,2,2,4,2,5,1,6,3,3,8706,868,0.991,3203,0.929,0.1
43,1,5,2,2,1,1,6,2,2,4976,866,0.985,4317,0.568,0.174
49,2,2,2,1,5,1,5,4,2,27732,1623,0.452,1413,0.722,0.059
36,1,2,2,1,1,1,6,1,2,2169,1602,0.668,5182,0.814,0.739
42,1,4,4,2,2,1,3,1,2,2575,2136,0.722,5267,0.886,0.83
39,1,2,1,3,1,1,5,3,4,6798,918,0.671,3961,0.605,0.135
46,2,4,3,1,3,1,1,2,1,13490,1567,0.795,13159,0.75,0.116
38,1,2,1,2,1,1,5,3,4,3311,1556,0.652,14470,0.746,0.47
47,1,5,3,1,1,1,1,2,1,1778,822,0.68,4189,0.667,0.462
59,2,2,2,1,2,1,6,3,2,2701,1572,0.475,1469,0.5,0.582
44,2,5,6,2,5,1,5,1,2,7567,2496,0.709,4076,0.579,0.33
49,1,1,6,2,1,1,1,2,3,2960,0,0.962,4918,0.75,0
52,1,1,3,2,1,1,5,2,3,1633,0,0.725,4436,0.667,0
45,1,3,6,3,4,1,6,3,2,12587,815,0.576,3914,0.766,0.065
42,1,2,3,1,2,1,5,5,3,4708,0,0.718,4597,0.679,0
39,2,2,1,2,2,1,6,3,2,6423,0,1.051,4295,0.795,0
48,1,3,2,1,1,1,1,2,1,2097,1255,0.61,4189,0.976,0.598
49,1,3,3,2,2,1,4,2,3,3855,211,0.485,1724,0.308,0.055
39,2,3,2,2,3,1,5,3,3,6347,569,0.668,3927,0.577,0.09
53,2,0,2,1,2,1,5,2,2,2875,1671,0.923,4399,0.692,0.581
36,1,0,3,1,1,1,4,3,2,2570,2230,0.686,1755,0.448,0.868
54,2,0,1,2,3,1,3,1,1,22437,1389,0.917,3283,1.273,0.062
53,1,1,2,2,1,1,6,2,3,3378,2134,0.541,4464,0.93,0.632
50,1,2,3,1,2,1,1,3,1,1438.3,458,0.613,1863,0.312,0.318
49,1,1,2,1,1,1,5,2,2,1909,866,0.88,4697,0.844,0.454
55,1,1,2,1,3,1,3,2,3,6968,1430,0.95,4037,1.029,0.205
43,2,3,1,2,4,1,6,1,2,20755,2276,0.801,4615,0.837,0.11
